CODESC;TIPOESC;NOMES;SUBPREF;DISTRITO;CODINEP;CD_CIE;NOME_ANT;REDE;NOMES_COMPLETO;nm_distrito_municipal;cd_subprefeitura;nm_subprefeitura;DESC_REDE
308934;CR.P.CONV;MARIA AUXILIADORA;PENHA;ARTUR ALVIM;35005275,0;;;CON;CR.P.CONV MARIA AUXILIADORA;ARTUR ALVIM;21;PENHA;Parceira
308935;CR.P.CONV;DOCE ENCANTO;PENHA;CANGAIBA;35005232,0;;;CON;CR.P.CONV DOCE ENCANTO;CANGAIBA;21;PENHA;Parceira
308936;CR.P.CONV;SEMEANDO O FUTURO;VILA MARIANA;SAUDE;35004796,0;;;CON;CR.P.CONV SEMEANDO O FUTURO;SAUDE;12;VILA MARIANA;Parceira
308939;CR.P.CONV;ANA NERY;FREGUESIA/BRASILANDIA;BRASILANDIA;35005295,0;;;CON;CR.P.CONV ANA NERY;BRASILANDIA;3;FREGUESIA-BRASILANDIA;Parceira
308940;CR.P.CONV;CRISTOVAO;CASA VERDE/CACHOEIRINHA;CACHOEIRINHA;35005297,0;;;CON;CR.P.CONV CRISTOVAO;CACHOEIRINHA;4;CASA VERDE-CACHOEIRINHA;Parceira
308941;CR.P.CONV;CLUBE DOS LEOEZINHOS;FREGUESIA/BRASILANDIA;BRASILANDIA;35005298,0;;;CON;CR.P.CONV CLUBE DOS LEOEZINHOS;BRASILANDIA;3;FREGUESIA-BRASILANDIA;Parceira
308942;CR.P.CONV;VOVO JOSE;BUTANTA;RIO PEQUENO;35005271,0;;;CON;CR.P.CONV VOVO JOSE;RIO PEQUENO;10;BUTANTA;Parceira
308943;CR.P.CONV;CORUJINHA I;BUTANTA;BUTANTA;35005081,0;;CURUJINHA;CON;CR.P.CONV CORUJINHA I;BUTANTA;10;BUTANTA;Parceira
308944;CR.P.CONV;PEQUENOS DO BUTANTA IV;BUTANTA;BUTANTA;35005078,0;;MARIA DE LOURDES;CON;CR.P.CONV PEQUENOS DO BUTANTA IV;BUTANTA;10;BUTANTA;Parceira
308947;CR.P.CONV;CONSTRUINDO SONHOS;IPIRANGA;SACOMA;35004846,0;;;CON;CR.P.CONV CONSTRUINDO SONHOS;SACOMA;13;IPIRANGA;Parceira
308949;CR.P.CONV;JARDIM MAGICO;SAO MATEUS;SAO MATEUS;35005144,0;;;CON;CR.P.CONV JARDIM MAGICO;SAO MATEUS;30;SAO MATEUS;Parceira
308950;CR.P.CONV;PINGUINHO;SAO MATEUS;SAO MATEUS;35005322,0;;;CON;CR.P.CONV PINGUINHO;SAO MATEUS;30;SAO MATEUS;Parceira
308951;CR.P.CONV;MUNDO COLORIDO;SAO MATEUS;SAO MATEUS;35005315,0;;;CON;CR.P.CONV MUNDO COLORIDO;SAO MATEUS;30;SAO MATEUS;Parceira
