CODEOL;TIPO;UNIDADE;DIRETORIA;DISTRITO;NIVEL;QTDE;Nível padronizado;nm_distrito_municipal;cd_subprefeitura;nm_subprefeitura;nivel_subprefeitura
308153;CR.P.CONV;CRAVINHO;SANTO AMARO;JABAQUARA;CRECHE;33;Educação Infantil;JABAQUARA;15;JABAQUARA;Educação Infantil|JABAQUARA
308154;CR.P.CONV;EMILIA FERREIRO;FREGUESIA/BRASILANDIA;BRASILANDIA;CRECHE;151;Educação Infantil;BRASILANDIA;03;FREGUESIA-BRASILANDIA;Educação Infantil|FREGUESIA-BRASILANDIA
308155;CR.P.CONV;LILIANE SANTANA;SAO MIGUEL;ITAIM PAULISTA;CRECHE;68;Educação Infantil;ITAIM PAULISTA;24;ITAIM PAULISTA;Educação Infantil|ITAIM PAULISTA
308156;CR.P.CONV;ALEGRIA;SANTO AMARO;CIDADE ADEMAR;CRECHE;35;Educação Infantil;CIDADE ADEMAR;16;CIDADE ADEMAR;Educação Infantil|CIDADE ADEMAR
308158;CR.P.CONV;CANTINHO MAGICO;PIRITUBA;JARAGUA;CRECHE;37;Educação Infantil;JARAGUA;02;PIRITUBA-JARAGUA;Educação Infantil|PIRITUBA-JARAGUA
308160;CR.P.CONV;TOCA DO COELHO;PIRITUBA;PERUS;CRECHE;27;Educação Infantil;PERUS;01;PERUS;Educação Infantil|PERUS
308161;CR.P.CONV;JARDIM DOS PINHEIROS;CAPELA DO SOCORRO;CIDADE DUTRA;CRECHE;76;Educação Infantil;CIDADE DUTRA;19;CAPELA DO SOCORRO;Educação Infantil|CAPELA DO SOCORRO
308162;CR.P.CONV;BARRA MANTEIGA;PIRITUBA;PERUS;CRECHE;33;Educação Infantil;PERUS;01;PERUS;Educação Infantil|PERUS
308164;CR.P.CONV;LUZIA AGUIAR;SAO MIGUEL;JARDIM HELENA;CRECHE;44;Educação Infantil;JARDIM HELENA;23;SAO MIGUEL;Educação Infantil|SAO MIGUEL
308168;CR.P.CONV;FAMILIA MONTE BELO;PIRITUBA;PERUS;CRECHE;42;Educação Infantil;PERUS;01;PERUS;Educação Infantil|PERUS
308169;CR.P.CONV;AMOR ETERNO;SAO MIGUEL;VILA CURUCA;CRECHE;23;Educação Infantil;VILA CURUCA;24;ITAIM PAULISTA;Educação Infantil|ITAIM PAULISTA
308170;CR.P.CONV;EDUCAR BRINCANDO;PIRITUBA;PERUS;CRECHE;57;Educação Infantil;PERUS;01;PERUS;Educação Infantil|PERUS
308171;CR.P.CONV;NOSSA TURMA;PIRITUBA;VILA LEOPOLDINA;CRECHE;57;Educação Infantil;VILA LEOPOLDINA;08;LAPA;Educação Infantil|LAPA
308172;CR.P.CONV;ESPACO FELIZ III;SAO MIGUEL;JARDIM HELENA;CRECHE;30;Educação Infantil;JARDIM HELENA;23;SAO MIGUEL;Educação Infantil|SAO MIGUEL
308173;CR.P.CONV;BABY MARAVILHA II;SAO MIGUEL;VILA JACUI;CRECHE;52;Educação Infantil;VILA JACUI;23;SAO MIGUEL;Educação Infantil|SAO MIGUEL
308175;CR.P.CONV;ESPACO KAIROS II;SAO MIGUEL;ITAIM PAULISTA;CRECHE;35;Educação Infantil;ITAIM PAULISTA;24;ITAIM PAULISTA;Educação Infantil|ITAIM PAULISTA
308176;CR.P.CONV;VINTE E SEIS DE JULHO;FREGUESIA/BRASILANDIA;LIMAO;CRECHE;57;Educação Infantil;LIMAO;04;CASA VERDE-CACHOEIRINHA;Educação Infantil|CASA VERDE-CACHOEIRINHA
308178;CR.P.CONV;SOLAR DO AMANHECER;PIRITUBA;ANHANGUERA;CRECHE;72;Educação Infantil;ANHANGUERA;01;PERUS;Educação Infantil|PERUS
308179;CR.P.CONV;MONT SINAI I;SANTO AMARO;PEDREIRA;CRECHE;38;Educação Infantil;PEDREIRA;16;CIDADE ADEMAR;Educação Infantil|CIDADE ADEMAR
308180;CR.P.CONV;EVA LUIZA ROSA II;PIRITUBA;PERUS;CRECHE;24;Educação Infantil;PERUS;01;PERUS;Educação Infantil|PERUS
308181;CR.P.CONV;ANUNCIACAO FERREIRA;SAO MATEUS;SAO MATEUS;CRECHE;33;Educação Infantil;SAO MATEUS;30;SAO MATEUS;Educação Infantil|SAO MATEUS
